Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,TIPUS_DOMICILI
2026-01-01,1,Ciutat Vella,1,el Raval,3,1007,73,11
2026-01-01,1,Ciutat Vella,1,el Raval,3,1007,89,12
2026-01-01,1,Ciutat Vella,1,el Raval,4,1008,69,1
2026-01-01,1,Ciutat Vella,1,el Raval,4,1008,135,2
2026-01-01,1,Ciutat Vella,1,el Raval,4,1008,84,3
2026-01-01,1,Ciutat Vella,1,el Raval,4,1008,50,4
2026-01-01,1,Ciutat Vella,1,el Raval,4,1008,125,5
2026-01-01,1,Ciutat Vella,1,el Raval,4,1008,25,6
2026-01-01,1,Ciutat Vella,1,el Raval,4,1008,33,7
2026-01-01,1,Ciutat Vella,1,el Raval,4,1008,218,8
2026-01-01,1,Ciutat Vella,1,el Raval,4,1008,15,9
2026-01-01,1,Ciutat Vella,1,el Raval,4,1008,4,10
2026-01-01,1,Ciutat Vella,1,el Raval,4,1008,142,11
2026-01-01,1,Ciutat Vella,1,el Raval,4,1008,163,12
2026-01-01,1,Ciutat Vella,1,el Raval,4,1009,76,1
2026-01-01,1,Ciutat Vella,1,el Raval,4,1009,145,2
2026-01-01,1,Ciutat Vella,1,el Raval,4,1009,63,3
2026-01-01,1,Ciutat Vella,1,el Raval,4,1009,20,4
2026-01-01,1,Ciutat Vella,1,el Raval,4,1009,123,5
2026-01-01,1,Ciutat Vella,1,el Raval,4,1009,28,6
2026-01-01,1,Ciutat Vella,1,el Raval,4,1009,29,7
2026-01-01,1,Ciutat Vella,1,el Raval,4,1009,173,8
2026-01-01,1,Ciutat Vella,1,el Raval,4,1009,24,9
2026-01-01,1,Ciutat Vella,1,el Raval,4,1009,1,10
2026-01-01,1,Ciutat Vella,1,el Raval,4,1009,80,11
2026-01-01,1,Ciutat Vella,1,el Raval,4,1009,96,12
2026-01-01,1,Ciutat Vella,1,el Raval,4,1010,71,1
2026-01-01,1,Ciutat Vella,1,el Raval,4,1010,135,2
2026-01-01,1,Ciutat Vella,1,el Raval,4,1010,21,3
2026-01-01,1,Ciutat Vella,1,el Raval,4,1010,19,4
2026-01-01,1,Ciutat Vella,1,el Raval,4,1010,146,5
2026-01-01,1,Ciutat Vella,1,el Raval,4,1010,18,6
2026-01-01,1,Ciutat Vella,1,el Raval,4,1010,36,7
2026-01-01,1,Ciutat Vella,1,el Raval,4,1010,181,8
2026-01-01,1,Ciutat Vella,1,el Raval,4,1010,8,9
2026-01-01,1,Ciutat Vella,1,el Raval,4,1010,2,10
2026-01-01,1,Ciutat Vella,1,el Raval,4,1010,105,11
2026-01-01,1,Ciutat Vella,1,el Raval,4,1010,122,12
2026-01-01,1,Ciutat Vella,1,el Raval,5,1011,143,1
2026-01-01,1,Ciutat Vella,1,el Raval,5,1011,206,2
2026-01-01,1,Ciutat Vella,1,el Raval,5,1011,42,3
2026-01-01,1,Ciutat Vella,1,el Raval,5,1011,38,4
