Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,LLOC_NAIX,SEXE
2026-01-01,1,Ciutat Vella,1,el Raval,3,1007,902,5,2
2026-01-01,1,Ciutat Vella,1,el Raval,4,1008,361,1,1
2026-01-01,1,Ciutat Vella,1,el Raval,4,1008,404,1,2
2026-01-01,1,Ciutat Vella,1,el Raval,4,1008,36,2,1
2026-01-01,1,Ciutat Vella,1,el Raval,4,1008,40,2,2
2026-01-01,1,Ciutat Vella,1,el Raval,4,1008,82,3,1
2026-01-01,1,Ciutat Vella,1,el Raval,4,1008,73,3,2
2026-01-01,1,Ciutat Vella,1,el Raval,4,1008,83,4,1
2026-01-01,1,Ciutat Vella,1,el Raval,4,1008,96,4,2
2026-01-01,1,Ciutat Vella,1,el Raval,4,1008,883,5,1
2026-01-01,1,Ciutat Vella,1,el Raval,4,1008,1344,5,2
2026-01-01,1,Ciutat Vella,1,el Raval,4,1009,266,1,1
2026-01-01,1,Ciutat Vella,1,el Raval,4,1009,303,1,2
2026-01-01,1,Ciutat Vella,1,el Raval,4,1009,44,2,1
2026-01-01,1,Ciutat Vella,1,el Raval,4,1009,42,2,2
2026-01-01,1,Ciutat Vella,1,el Raval,4,1009,93,3,1
2026-01-01,1,Ciutat Vella,1,el Raval,4,1009,75,3,2
2026-01-01,1,Ciutat Vella,1,el Raval,4,1009,62,4,1
2026-01-01,1,Ciutat Vella,1,el Raval,4,1009,67,4,2
2026-01-01,1,Ciutat Vella,1,el Raval,4,1009,580,5,1
2026-01-01,1,Ciutat Vella,1,el Raval,4,1009,856,5,2
2026-01-01,1,Ciutat Vella,1,el Raval,4,1010,260,1,1
2026-01-01,1,Ciutat Vella,1,el Raval,4,1010,262,1,2
2026-01-01,1,Ciutat Vella,1,el Raval,4,1010,36,2,1
2026-01-01,1,Ciutat Vella,1,el Raval,4,1010,40,2,2
2026-01-01,1,Ciutat Vella,1,el Raval,4,1010,54,3,1
2026-01-01,1,Ciutat Vella,1,el Raval,4,1010,79,3,2
2026-01-01,1,Ciutat Vella,1,el Raval,4,1010,69,4,1
2026-01-01,1,Ciutat Vella,1,el Raval,4,1010,84,4,2
2026-01-01,1,Ciutat Vella,1,el Raval,4,1010,725,5,1
2026-01-01,1,Ciutat Vella,1,el Raval,4,1010,1054,5,2
2026-01-01,1,Ciutat Vella,1,el Raval,4,1010,..,6,1
2026-01-01,1,Ciutat Vella,1,el Raval,4,1010,..,6,2
2026-01-01,1,Ciutat Vella,1,el Raval,5,1011,369,1,1
2026-01-01,1,Ciutat Vella,1,el Raval,5,1011,422,1,2
2026-01-01,1,Ciutat Vella,1,el Raval,5,1011,55,2,1
2026-01-01,1,Ciutat Vella,1,el Raval,5,1011,55,2,2
2026-01-01,1,Ciutat Vella,1,el Raval,5,1011,78,3,1
2026-01-01,1,Ciutat Vella,1,el Raval,5,1011,85,3,2
2026-01-01,1,Ciutat Vella,1,el Raval,5,1011,126,4,1
2026-01-01,1,Ciutat Vella,1,el Raval,5,1011,144,4,2
2026-01-01,1,Ciutat Vella,1,el Raval,5,1011,1056,5,1
2026-01-01,1,Ciutat Vella,1,el Raval,5,1011,1382,5,2
2026-01-01,1,Ciutat Vella,1,el Raval,5,1012,271,1,1
2026-01-01,1,Ciutat Vella,1,el Raval,5,1012,245,1,2
2026-01-01,1,Ciutat Vella,1,el Raval,5,1012,40,2,1
2026-01-01,1,Ciutat Vella,1,el Raval,5,1012,41,2,2
2026-01-01,1,Ciutat Vella,1,el Raval,5,1012,71,3,1
2026-01-01,1,Ciutat Vella,1,el Raval,5,1012,74,3,2
2026-01-01,1,Ciutat Vella,1,el Raval,5,1012,91,4,1
2026-01-01,1,Ciutat Vella,1,el Raval,5,1012,103,4,2
2026-01-01,1,Ciutat Vella,1,el Raval,5,1012,529,5,1
2026-01-01,1,Ciutat Vella,1,el Raval,5,1012,673,5,2
2026-01-01,1,Ciutat Vella,1,el Raval,5,1012,..,6,1
2026-01-01,1,Ciutat Vella,1,el Raval,5,1013,229,1,1
2026-01-01,1,Ciutat Vella,1,el Raval,5,1013,204,1,2
2026-01-01,1,Ciutat Vella,1,el Raval,5,1013,29,2,1
2026-01-01,1,Ciutat Vella,1,el Raval,5,1013,28,2,2
2026-01-01,1,Ciutat Vella,1,el Raval,5,1013,46,3,1
2026-01-01,1,Ciutat Vella,1,el Raval,5,1013,54,3,2
2026-01-01,1,Ciutat Vella,1,el Raval,5,1013,36,4,1
2026-01-01,1,Ciutat Vella,1,el Raval,5,1013,49,4,2
2026-01-01,1,Ciutat Vella,1,el Raval,5,1013,367,5,1
2026-01-01,1,Ciutat Vella,1,el Raval,5,1013,429,5,2
2026-01-01,1,Ciutat Vella,1,el Raval,5,1013,..,6,2
2026-01-01,1,Ciutat Vella,1,el Raval,6,1014,219,1,1
2026-01-01,1,Ciutat Vella,1,el Raval,6,1014,217,1,2
2026-01-01,1,Ciutat Vella,1,el Raval,6,1014,24,2,1
2026-01-01,1,Ciutat Vella,1,el Raval,6,1014,33,2,2
2026-01-01,1,Ciutat Vella,1,el Raval,6,1014,54,3,1
2026-01-01,1,Ciutat Vella,1,el Raval,6,1014,48,3,2
2026-01-01,1,Ciutat Vella,1,el Raval,6,1014,54,4,1
2026-01-01,1,Ciutat Vella,1,el Raval,6,1014,55,4,2
2026-01-01,1,Ciutat Vella,1,el Raval,6,1014,521,5,1
2026-01-01,1,Ciutat Vella,1,el Raval,6,1014,548,5,2
2026-01-01,1,Ciutat Vella,1,el Raval,6,1015,266,1,1
2026-01-01,1,Ciutat Vella,1,el Raval,6,1015,291,1,2
2026-01-01,1,Ciutat Vella,1,el Raval,6,1015,39,2,1
2026-01-01,1,Ciutat Vella,1,el Raval,6,1015,36,2,2
2026-01-01,1,Ciutat Vella,1,el Raval,6,1015,88,3,1
2026-01-01,1,Ciutat Vella,1,el Raval,6,1015,79,3,2
2026-01-01,1,Ciutat Vella,1,el Raval,6,1015,81,4,1
2026-01-01,1,Ciutat Vella,1,el Raval,6,1015,91,4,2
2026-01-01,1,Ciutat Vella,1,el Raval,6,1015,779,5,1
2026-01-01,1,Ciutat Vella,1,el Raval,6,1015,879,5,2
2026-01-01,1,Ciutat Vella,1,el Raval,6,1015,..,6,1
2026-01-01,1,Ciutat Vella,1,el Raval,6,1016,233,1,1
2026-01-01,1,Ciutat Vella,1,el Raval,6,1016,237,1,2
2026-01-01,1,Ciutat Vella,1,el Raval,6,1016,36,2,1
2026-01-01,1,Ciutat Vella,1,el Raval,6,1016,39,2,2
2026-01-01,1,Ciutat Vella,1,el Raval,6,1016,55,3,1
2026-01-01,1,Ciutat Vella,1,el Raval,6,1016,50,3,2
2026-01-01,1,Ciutat Vella,1,el Raval,6,1016,65,4,1
2026-01-01,1,Ciutat Vella,1,el Raval,6,1016,64,4,2
2026-01-01,1,Ciutat Vella,1,el Raval,6,1016,697,5,1
2026-01-01,1,Ciutat Vella,1,el Raval,6,1016,696,5,2
2026-01-01,1,Ciutat Vella,1,el Raval,6,1017,244,1,1
2026-01-01,1,Ciutat Vella,1,el Raval,6,1017,295,1,2
2026-01-01,1,Ciutat Vella,1,el Raval,6,1017,37,2,1
2026-01-01,1,Ciutat Vella,1,el Raval,6,1017,33,2,2
2026-01-01,1,Ciutat Vella,1,el Raval,6,1017,49,3,1
2026-01-01,1,Ciutat Vella,1,el Raval,6,1017,38,3,2
2026-01-01,1,Ciutat Vella,1,el Raval,6,1017,84,4,1
2026-01-01,1,Ciutat Vella,1,el Raval,6,1017,67,4,2
2026-01-01,1,Ciutat Vella,1,el Raval,6,1017,882,5,1
2026-01-01,1,Ciutat Vella,1,el Raval,6,1017,1076,5,2
2026-01-01,1,Ciutat Vella,1,el Raval,7,1018,201,1,1
2026-01-01,1,Ciutat Vella,1,el Raval,7,1018,219,1,2
2026-01-01,1,Ciutat Vella,1,el Raval,7,1018,27,2,1
2026-01-01,1,Ciutat Vella,1,el Raval,7,1018,27,2,2
2026-01-01,1,Ciutat Vella,1,el Raval,7,1018,62,3,1
2026-01-01,1,Ciutat Vella,1,el Raval,7,1018,52,3,2
2026-01-01,1,Ciutat Vella,1,el Raval,7,1018,67,4,1
2026-01-01,1,Ciutat Vella,1,el Raval,7,1018,55,4,2
2026-01-01,1,Ciutat Vella,1,el Raval,7,1018,457,5,1
2026-01-01,1,Ciutat Vella,1,el Raval,7,1018,466,5,2
2026-01-01,1,Ciutat Vella,1,el Raval,7,1018,..,6,1
2026-01-01,1,Ciutat Vella,1,el Raval,7,1019,288,1,1
2026-01-01,1,Ciutat Vella,1,el Raval,7,1019,313,1,2
2026-01-01,1,Ciutat Vella,1,el Raval,7,1019,55,2,1
2026-01-01,1,Ciutat Vella,1,el Raval,7,1019,42,2,2
2026-01-01,1,Ciutat Vella,1,el Raval,7,1019,107,3,1
2026-01-01,1,Ciutat Vella,1,el Raval,7,1019,95,3,2
2026-01-01,1,Ciutat Vella,1,el Raval,7,1019,109,4,1
2026-01-01,1,Ciutat Vella,1,el Raval,7,1019,139,4,2
2026-01-01,1,Ciutat Vella,1,el Raval,7,1019,792,5,1
2026-01-01,1,Ciutat Vella,1,el Raval,7,1019,1139,5,2
2026-01-01,1,Ciutat Vella,1,el Raval,7,1019,..,6,1
2026-01-01,1,Ciutat Vella,1,el Raval,7,1019,..,6,2
2026-01-01,1,Ciutat Vella,1,el Raval,7,1020,257,1,1
2026-01-01,1,Ciutat Vella,1,el Raval,7,1020,249,1,2
2026-01-01,1,Ciutat Vella,1,el Raval,7,1020,85,2,1
2026-01-01,1,Ciutat Vella,1,el Raval,7,1020,54,2,2
2026-01-01,1,Ciutat Vella,1,el Raval,7,1020,137,3,1
2026-01-01,1,Ciutat Vella,1,el Raval,7,1020,87,3,2
2026-01-01,1,Ciutat Vella,1,el Raval,7,1020,159,4,1
2026-01-01,1,Ciutat Vella,1,el Raval,7,1020,157,4,2
2026-01-01,1,Ciutat Vella,1,el Raval,7,1020,536,5,1
2026-01-01,1,Ciutat Vella,1,el Raval,7,1020,547,5,2
2026-01-01,1,Ciutat Vella,1,el Raval,7,1020,..,6,1
2026-01-01,1,Ciutat Vella,1,el Raval,8,1021,267,1,1
2026-01-01,1,Ciutat Vella,1,el Raval,8,1021,218,1,2
2026-01-01,1,Ciutat Vella,1,el Raval,8,1021,83,2,1
